Channel_Name,Output,Type,Channel_Label,Group
Window E Temperature 1.2 m Above Sill,Window E,Temperature,1.2 m Above Sill,Window_E_Temperature
Window E Velocity 1.2 m Above Sill,Window E,Velocity,1.2 m Above Sill,Window_E_Velocity
Window E Temperature 0.96 m Above Sill,Window E,Temperature,0.96 m Above Sill,Window_E_Temperature
Window E Velocity 0.96 m Above Sill,Window E,Velocity,0.96 m Above Sill,Window_E_Velocity
Window E Temperature 0.72 m Above Sill,Window E,Temperature,0.72 m Above Sill,Window_E_Temperature
Window E Velocity 0.72 m Above Sill,Window E,Velocity,0.72 m Above Sill,Window_E_Velocity
Window E Temperature 0.48 m Above Sill,Window E,Temperature,0.48 m Above Sill,Window_E_Temperature
Window E Velocity 0.48 m Above Sill,Window E,Velocity,0.48 m Above Sill,Window_E_Velocity
Window E Temperature 0.24 m Above Sill,Window E,Temperature,0.24 m Above Sill,Window_E_Temperature
Window E Velocity 0.24 m Above Sill,Window E,Velocity,0.24 m Above Sill,Window_E_Velocity
Bedroom 1 Pressure 0.3 m Below Ceiling,Bedroom 1,Pressure,0.3 m Below Ceiling,Bedroom_1_Pressure
Bedroom 1 Pressure 1.2 m Below Ceiling,Bedroom 1,Pressure,1.2 m Below Ceiling,Bedroom_1_Pressure
Bedroom 1 Pressure 2.1 m Below Ceiling,Bedroom 1,Pressure,2.1 m Below Ceiling,Bedroom_1_Pressure
Bedroom 1 Temperature 0.02 m Below Ceiling,Bedroom 1,Temperature,0.02 m Below Ceiling,Bedroom_1_Temperature
Bedroom 1 Temperature 0.3 m Below Ceiling,Bedroom 1,Temperature,0.3 m Below Ceiling,Bedroom_1_Temperature
Bedroom 1 Temperature 0.6 m Below Ceiling,Bedroom 1,Temperature,0.6 m Below Ceiling,Bedroom_1_Temperature
Bedroom 1 Temperature 0.9 m Below Ceiling,Bedroom 1,Temperature,0.9 m Below Ceiling,Bedroom_1_Temperature
Bedroom 1 Temperature 1.2 m Below Ceiling,Bedroom 1,Temperature,1.2 m Below Ceiling,Bedroom_1_Temperature
Bedroom 1 Temperature 1.5 m Below Ceiling,Bedroom 1,Temperature,1.5 m Below Ceiling,Bedroom_1_Temperature
Bedroom 1 Temperature 1.8 m Below Ceiling,Bedroom 1,Temperature,1.8 m Below Ceiling,Bedroom_1_Temperature
Bedroom 1 Temperature 2.1 m Below Ceiling,Bedroom 1,Temperature,2.1 m Below Ceiling,Bedroom_1_Temperature
Window D Temperature 1.2 m Above Sill,Window D,Temperature,1.2 m Above Sill,Window_D_Temperature
Window D Velocity 1.2 m Above Sill,Window D,Velocity,1.2 m Above Sill,Window_D_Velocity
Window D Temperature 0.96 m Above Sill,Window D,Temperature,0.96 m Above Sill,Window_D_Temperature
Window D Velocity 0.96 m Above Sill,Window D,Velocity,0.96 m Above Sill,Window_D_Velocity
Window D Temperature 0.72 m Above Sill,Window D,Temperature,0.72 m Above Sill,Window_D_Temperature
Window D Velocity 0.72 m Above Sill,Window D,Velocity,0.72 m Above Sill,Window_D_Velocity
Window D Temperature 0.48 m Above Sill,Window D,Temperature,0.48 m Above Sill,Window_D_Temperature
